Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
Alabama A & M University,Alabama,3790,4080,,51,38,0,83,14600,14205,14526,16532,20139,17539,,,,,,,68,28,10024,24234,32844,"Public, 4-year or above",Four or more years,Public,0,0,86,1,0,2,2,0,27,50,0,0,0,27,47,24,100,87,10066,430,470,523,400,450,510,15,17,19,13,16,20,15,16,18
University of Alabama at Birmingham,Alabama,8550,5780,,82,16,1,74,16834,14620,15130,17379,20045,19342,,,,,,,87,26,8832,28909,41293,"Public, 4-year or above",Four or more years,Public,0,7,21,5,0,51,7,7,64,55,82,82,100,57,53,66,63,96,11142,610,650,690,590,650,720,23,27,30,22,27,33,20,25,28
Amridge University,Alabama,,,,,,,83,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,55,3,1,38,0,1,50,,0,0,,,,100,,,,,,,,,,,,,,,,,,
University of Alabama in Huntsville,Alabama,,,11122,72,27,1,70,18588,13902,15703,18802,20880,20467,,,,,,,78,27,11878,29878,42770,"Public, 4-year or above",Four or more years,Public,1,4,9,6,0,69,4,4,63,33,69,69,,48,55,64,68,96,8983,613,650,700,613,685,730,25,26,30,24,28,34,23,26,30
Alabama State University,Alabama,3500,2550,,37,62,1,92,13176,13066,13738,13505,14414,15590,,,,,,,97,15,11068,22110,30438,"Public, 4-year or above",Four or more years,Public,0,0,90,1,0,4,2,0,28,50,40,40,,27,25,38,67,97,10029,429,480,531,399,455,510,16,18,20,14,17,20,14,16,18
University of Alabama System Office,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,Four or more years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Alabama,Alabama,6100,4426,,35,64,1,73,20592,17942,19931,21867,23680,23931,,,,,,,80,19,11940,32024,52384,"Public, 4-year or above",Four or more years,Public,0,2,11,6,0,71,3,2,73,58,71,72,57,60,67,75,73,87,15683,570,630,690,560,630,720,23,28,31,23,28,34,22,26,29
Central Alabama Community College,Alabama,,,,94,5,0,67,7664,7232,6749,9895,11020,11738,,,,,,,,,4990,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,19,4,0,71,0,1,22,50,40,40,,13,13,24,0,87,6693,,,,,,,,,,,,,,,
Athens State University,Alabama,,,,,,,99,,,,,,,,,,,,,,,,,,"Public, 4-year or above",Four or more years,Public,1,1,15,5,0,73,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn University at Montgomery,Alabama,4680,2688,,100,0,0,77,13163,10873,12501,15041,15724,14069,,,,,,,92,19,9100,21698,31946,"Public, 4-year or above",Four or more years,Public,0,3,39,2,0,37,16,3,36,14,40,40,,37,38,37,8,99,6935,510,540,615,500,530,575,18,20,25,17,21,24,16,18,23
Auburn University,Alabama,9294,5704,,57,41,0,65,25271,17481,19356,23336,26709,28876,,,,,,,44,27,12176,34402,55186,"Public, 4-year or above",Four or more years,Public,0,3,5,4,0,79,6,3,81,57,82,81,100,69,77,82,70,79,9791,610,650,680,610,650,700,24,27,30,24,28,33,22,26,28
Birmingham-Southern College,Alabama,8200,5800,,55,44,1,98,,,,,,,21153,17530,17196,18649,20596,21035,57,14,21250,39020,39020,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,15,6,0,73,2,2,65,,71,71,,44,67,68,,100,14163,590,620,670,560,590,610,22,25,29,22,25,30,20,24,26
Chattahoochee Valley Community College,Alabama,,,,69,15,0,79,3301,1980,3857,5612,7759,8615,,,,,,,,,4980,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,46,1,1,39,0,2,26,0,0,0,,17,43,32,,96,10486,,,,,,,,,,,,,,,
South University-Montgomery,Alabama,,,,100,0,0,81,,,,,,,27195,26145,28659,28028,30780,,,,17014,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,1,75,2,0,20,1,1,9,,0,,0,8,,14,,92,5000,,,,,,,,,,,,,,,
Enterprise State Community College,Alabama,,,,92,6,0,77,2826,1838,2694,4561,7744,7738,,,,,,,,,4920,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,18,7,0,63,1,2,29,0,,,,17,24,36,,87,6606,,,,,,,,,,,,,,,
Coastal Alabama Community College,Alabama,,,5800,90,8,0,88,7938,5700,6405,8905,12032,11706,,,,,,,,,4920,17720,21470,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,23,4,0,64,0,1,22,19,47,43,100,19,29,23,0,94,6348,,,,,,,,,,,,,,,
Faulkner University,Alabama,3980,4250,,68,26,6,77,,,,,,,20050,20384,16356,19408,20007,20872,82,17,23920,38340,38340,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,34,4,0,53,3,2,33,,0,0,0,14,25,43,64,99,16238,470,510,570,480,520,560,17,19,24,17,21,25,16,18,23
Gadsden State Community College,Alabama,,,4800,97,1,0,76,4777,3694,3328,4978,6805,,,,,,,,,,3984,12708,15708,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,18,7,0,69,1,1,25,0,100,100,100,15,27,29,47,91,6133,,,,,,,,,,,,,,,
New Beginning College of Cosmetology,Alabama,,,,100,0,0,29,,,,,,,13408,12790,14055,,16746,16496,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,0,22,0,76,0,0,59,,,,,,,,,67,4088,/,
George C Wallace Community College-Dothan,Alabama,,,,94,5,0,73,1106,1328,1474,1628,6716,,,,,,,,,,4860,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,29,6,0,58,0,1,29,33,50,50,50,22,24,33,100,85,7349,,,,,,,,,,,,,,,
George C Wallace State Community College-Hanceville,Alabama,2800,2100,,97,2,0,59,9619,10901,12948,10111,,15488,,,,,,,,,4920,20540,24290,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,6,9,0,79,1,1,45,63,55,55,50,28,40,47,67,80,5681,,,,,,,,,,,,,,,
George C Wallace State Community College-Selma,Alabama,,,,97,1,0,100,1291,1151,2449,4721,7550,,,,,,,,,,4620,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,72,2,0,22,1,1,37,,,,,39,25,39,,100,11011,,,,,,,,,,,,,,,
Herzing University-Birmingham,Alabama,,,,88,12,0,83,,,,,,,21953,19256,23480,,26372,28152,94,69,12750,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,65,2,0,28,0,1,30,,,,,25,,50,,100,6269,,,,,,,,,,,,,,,
Huntingdon College,Alabama,,,10772,68,32,0,99,,,,,,,23662,21553,20958,23793,25059,25908,66,15,28350,41490,41490,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,19,6,0,67,0,0,50,,100,100,,51,64,48,,100,16020,500,520,600,500,540,580,18,21,24,18,21,24,16,19,23
Heritage Christian University,Alabama,4000,,,33,33,33,79,,,,,,,5020,3136,,5962,,,100,75,11632,21737,21737,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,3,8,3,0,83,0,3,0,,,,,,,0,,100,12790,,,,,,,,,,,,,,,
J. F. Drake State Community and Technical College,Alabama,,,,93,4,0,93,5533,5016,4188,8576,,,,,,,,,,,4890,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,60,8,0,24,1,0,12,0,,,,8,25,21,,89,6261,,,,,,,,,,,,,,,
J F Ingram State Technical College,Alabama,,,,100,0,0,100,4480,4471,,,,,,,,,,,,,4860,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,57,1,0,41,0,1,10,0,0,0,,7,50,13,,100,1604,,,,,,,,,,,,,,,
Jacksonville State University,Alabama,4000,3400,,72,25,3,98,11953,16020,17323,19932,21717,22020,,,,,,,78,20,11952,23990,33950,"Public, 4-year or above",Four or more years,Public,0,1,24,0,0,62,2,1,52,29,57,67,0,37,60,56,49,100,10123,480,560,600,460,540,600,16,20,23,15,20,24,16,17,22
Jefferson State Community College,Alabama,,,,95,2,0,100,9406,5515,6316,8757,12082,13340,,,,,,,,,5220,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,22,8,0,62,1,2,22,0,18,18,,15,1,29,0,100,5313,,,,,,,,,,,,,,,
John C Calhoun State Community College,Alabama,,,,95,3,0,50,6308,4850,6256,7896,9874,10912,,,,,,,,,5000,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,15,9,0,66,1,2,36,39,47,47,,26,32,40,29,76,5207,,,,,,,,,,,,,,,
Lawson State Community College,Alabama,3000,1760,,95,4,0,99,4629,3354,4123,6494,9796,7387,,,,,,,,,4920,14980,18730,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,80,4,0,11,0,0,23,33,0,0,,20,50,33,0,100,9764,,,,,,,,,,,,,,,
University of West Alabama,Alabama,4760,3060,,81,13,3,68,13786,12558,13369,16129,15553,15705,,,,,,,69,14,10990,23626,32726,"Public, 4-year or above",Four or more years,Public,1,0,32,3,0,49,2,0,38,0,0,,0,35,20,41,25,99,9291,430,450,470,450,480,510,17,19,21,16,18,20,16,18,20
Lurleen B Wallace Community College,Alabama,4000,,,95,5,0,82,3823,2541,3549,3798,5904,,,,,,,,,,4920,15287,19037,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,18,4,0,72,0,1,34,0,,,,36,23,32,,93,6560,,,,,,,,,,,,,,,
Marion Military Institute,Alabama,,,4950,43,55,0,90,10394,9058,8608,6681,11841,11826,,,,,,,63,50,9538,18458,24458,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,21,8,1,60,0,3,27,33,13,17,0,25,10,29,,95,9553,,,,,,,,,,,,,,,
Miles College,Alabama,4182,3388,,58,42,0,87,,,,,,,13283,12521,12843,14950,17279,16837,,,12714,23144,23144,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,95,1,0,3,0,0,26,,0,0,,27,40,50,,95,9391,,,,,,,,,,,,,,,
University of Mobile,Alabama,5688,4480,,71,20,10,67,,,,,,,22260,16575,16733,21966,18109,19595,84,19,25880,43106,43106,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,2,1,13,2,0,48,4,1,46,0,0,0,,48,33,97,33,100,16217,,,,,,,21,25,27,22,25,30,18,23,26
University of Montevallo,Alabama,6595,3540,,80,16,4,89,17421,14118,15751,18840,19922,20009,,,,,,,60,14,13710,28045,41065,"Public, 4-year or above",Four or more years,Public,0,0,17,7,0,67,3,1,55,0,50,50,,56,64,55,56,99,11694,,,,,,,,,,,,,,,
Northwest-Shoals Community College,Alabama,,,,97,2,0,98,4113,849,1568,5611,8422,8612,,,,,,,,,5011,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,8,10,0,75,0,1,27,14,0,0,,14,35,29,25,99,6608,,,,,,,,,,,,,,,
University of North Alabama,Alabama,3530,4200,,78,18,4,91,9837,7922,7731,11233,14536,13484,,,,,,,96,30,11220,23250,33450,"Public, 4-year or above",Four or more years,Public,1,2,12,5,0,70,5,2,52,70,67,67,,31,45,56,50,98,13699,,,,,,,,,,,,,,,
Northeast Alabama Community College,Alabama,,,,98,1,0,100,3169,637,123,2321,6138,9660,,,,,,,,,4920,,,"Public, 2-year",At least 2 but less than 4 years,Public,2,1,2,17,0,70,0,1,45,70,80,100,50,40,52,43,,100,7461,,,,,,,,,,,,,,,
Oakwood University,Alabama,4742,5358,,8,58,16,95,,,,,,,19373,18518,16366,18999,20446,25129,68,38,20040,38624,38624,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,73,9,0,1,11,0,47,,100,,100,48,36,0,54,93,19004,,,,,,,,,,,,,,,
Reid State Technical College,Alabama,,,,98,0,0,92,2368,1600,368,3680,,,,,,,,,,,4950,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,60,0,0,35,0,1,44,,,,,38,0,56,,95,8782,,,,,,,,,,,,,,,
Bishop State Community College,Alabama,,,,92,5,0,75,3418,2160,933,3743,4534,,,,,,,,,,4920,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,58,3,0,31,1,2,22,40,14,14,,23,8,20,0,91,8846,,,,,,,,,,,,,,,
Samford University,Alabama,6336,5288,,25,74,1,97,,,,,,,31803,23359,25342,28422,32460,33463,83,27,36725,53934,53934,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,9,4,0,80,1,2,78,,56,56,,70,69,78,64,100,20711,550,600,650,530,570,620,23,26,29,22,26,31,20,24,27
Selma University,Alabama,,,,100,0,0,,,,,,,,,,,,,,,,4800,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelton State Community College,Alabama,,,,93,5,0,50,8799,7947,9285,11182,11219,,,,,,,,,,4980,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,38,5,0,52,1,1,23,40,25,25,,12,18,29,17,72,5563,,,,,,,,,,,,,,,
Snead State Community College,Alabama,2350,1685,,96,2,0,70,7667,6428,6573,8734,11946,10704,,,,,,,,,5408,16272,20272,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,6,16,0,72,0,1,40,67,83,83,,33,41,41,100,93,6131,,,,,,,,,,,,,,,
University of South Alabama,Alabama,4360,4150,,73,25,2,87,15664,12411,13521,18330,21388,22574,,,,,,,65,20,9116,23705,32321,"Public, 4-year or above",Four or more years,Public,1,4,21,4,0,62,2,4,48,53,58,58,,45,38,53,14,96,7686,510,550,600,493,545,600,20,22,26,20,22,26,17,20,25
Spring Hill College,Alabama,5768,5356,,33,50,0,93,,,,,,,21018,13220,16872,18558,20508,25325,73,15,21732,38872,38872,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,13,9,0,61,9,2,62,,44,43,50,52,77,66,43,100,14836,550,580,620,560,580,610,19,21,24,20,23,28,18,22,26
Stillman College,Alabama,5984,4070,,65,31,0,93,,,,,,,15574,15446,15874,17667,24823,16894,65,13,11392,28052,28052,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,95,1,0,3,0,0,25,,0,0,,22,,71,,90,12049,,,,,,,,,,,,,,,
Talladega College,Alabama,,,8934,35,62,0,84,,,,,,,12360,12875,13576,12108,17453,14617,,,13866,27700,27700,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,85,5,0,1,7,0,35,,0,,0,32,58,0,56,98,10082,,,,,,,,,,,,,,,
H Councill Trenholm State Community College,Alabama,,,,97,1,0,76,6570,6235,7002,8101,8721,,,,,,,,,,4830,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,73,5,0,17,0,1,20,0,0,0,,18,36,25,,86,5972,,,,,,,,,,,,,,,
