"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Alabama A & M University""",Alabama,Four or more years,Public,87,14205,14526,16532,20139,17539,24234,32844,68,830,920,1033,15,17,19,,,,,,,,,,,,,
"""University of Alabama at Birmingham""",Alabama,Four or more years,Public,96,14620,15130,17379,20045,19342,28909,41293,87,1200,1300,1410,23,27,30,,,,,,,,,,,,,
"""Amridge University""",Alabama,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Alabama in Huntsville""",Alabama,Four or more years,Public,96,13902,15703,18802,20880,20467,29878,42770,78,1226,1335,1430,25,26,30,,,,,,,,,,,,,
"""Alabama State University""",Alabama,Four or more years,Public,97,13066,13738,13505,14414,15590,22110,30438,97,828,935,1041,16,18,20,,,,,,,,,,,,,
"""University of Alabama System Office""",Alabama,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""The University of Alabama""",Alabama,Four or more years,Public,87,17942,19931,21867,23680,23931,32024,52384,80,1130,1260,1410,23,28,31,117,99,100,101,117,74,96,62,,109,121109,,
"""Central Alabama Community College""",Alabama,At least 2 but less than 4 years,Public,87,7232,6749,9895,11020,11738,,,,0,0,0,,,,,,,,,,,,,,,,
"""Athens State University""",Alabama,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Auburn University at Montgomery""",Alabama,Four or more years,Public,99,10873,12501,15041,15724,14069,21698,31946,92,1010,1070,1190,18,20,25,,,,,,,,,,,,,
"""Auburn University""",Alabama,Four or more years,Public,79,17481,19356,23336,26709,28876,34402,55186,44,1220,1300,1380,24,27,30,109,101,81,93,,76,82,,90,94,97111,,
"""Birmingham-Southern College""",Alabama,Four or more years,Private not-for-profit,100,17530,17196,18649,20596,21035,39020,39020,57,1150,1210,1280,22,25,29,,,,,,,,,,,,,
"""Chattahoochee Valley Community College""",Alabama,At least 2 but less than 4 years,Public,96,1980,3857,5612,7759,8615,,,,0,0,0,,,,,,,,,,,,,,,,
"""South University-Montgomery""",Alabama,Four or more years,Private for-profit,92,26145,28659,28028,30780,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Enterprise State Community College""",Alabama,At least 2 but less than 4 years,Public,87,1838,2694,4561,7744,7738,,,,0,0,0,,,,,,,,,,,,,,,,
"""Coastal Alabama Community College""",Alabama,At least 2 but less than 4 years,Public,94,5700,6405,8905,12032,11706,17720,21470,,0,0,0,,,,,,,,,,,,,,,,
"""Faulkner University""",Alabama,Four or more years,Private not-for-profit,99,20384,16356,19408,20007,20872,38340,38340,82,950,1030,1130,17,19,24,,,,,,,,,,,,,
"""Gadsden State Community College""",Alabama,At least 2 but less than 4 years,Public,91,3694,3328,4978,6805,0,12708,15708,,0,0,0,,,,,,,,,,,,,,,,
"""New Beginning College of Cosmetology""",Alabama,Less than 2 years (below associate),Private for-profit,67,12790,14055,0,16746,16496,,,,0,0,0,,,,,,,,,,,,,,,,
"""George C Wallace Community College-Dothan""",Alabama,At least 2 but less than 4 years,Public,85,1328,1474,1628,6716,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""George C Wallace State Community College-Hanceville""",Alabama,At least 2 but less than 4 years,Public,80,10901,12948,10111,0,15488,20540,24290,,0,0,0,,,,,,,,,,,,,,,,
"""George C Wallace State Community College-Selma""",Alabama,At least 2 but less than 4 years,Public,100,1151,2449,4721,7550,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Herzing University-Birmingham""",Alabama,Four or more years,Private not-for-profit,100,19256,23480,0,26372,28152,,,94,0,0,0,,,,,,,,,,,,,,,,
"""Huntingdon College""",Alabama,Four or more years,Private not-for-profit,100,21553,20958,23793,25059,25908,41490,41490,66,1000,1060,1180,18,21,24,,,,,,,,,,,,,
"""Heritage Christian University""",Alabama,Four or more years,Private not-for-profit,100,3136,0,5962,0,0,21737,21737,100,0,0,0,,,,,,,,,,,,,,,,
"""J. F. Drake State Community and Technical College""",Alabama,At least 2 but less than 4 years,Public,89,5016,4188,8576,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""J F Ingram State Technical College""",Alabama,At least 2 but less than 4 years,Public,100,4471,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Jacksonville State University""",Alabama,Four or more years,Public,100,16020,17323,19932,21717,22020,23990,33950,78,940,1100,1200,16,20,23,,,,,,,,,,,,,
"""Jefferson State Community College""",Alabama,At least 2 but less than 4 years,Public,100,5515,6316,8757,12082,13340,,,,0,0,0,,,,,,,,,,,,,,,,
"""John C Calhoun State Community College""",Alabama,At least 2 but less than 4 years,Public,76,4850,6256,7896,9874,10912,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lawson State Community College""",Alabama,At least 2 but less than 4 years,Public,100,3354,4123,6494,9796,7387,14980,18730,,0,0,0,,,,,,,,,,,,,,,,
"""University of West Alabama""",Alabama,Four or more years,Public,99,12558,13369,16129,15553,15705,23626,32726,69,880,930,980,17,19,21,,,,,,,,,,,,,
"""Lurleen B Wallace Community College""",Alabama,At least 2 but less than 4 years,Public,93,2541,3549,3798,5904,0,15287,19037,,0,0,0,,,,,,,,,,,,,,,,
"""Marion Military Institute""",Alabama,At least 2 but less than 4 years,Public,95,9058,8608,6681,11841,11826,18458,24458,63,0,0,0,,,,,,,,,,,,,,,,
"""Miles College""",Alabama,Four or more years,Private not-for-profit,95,12521,12843,14950,17279,16837,23144,23144,,0,0,0,,,,,,,,,,,,,,,,
"""University of Mobile""",Alabama,Four or more years,Private not-for-profit,100,16575,16733,21966,18109,19595,43106,43106,84,0,0,0,21,25,27,,,,,,,,,,,,,
"""University of Montevallo""",Alabama,Four or more years,Public,99,14118,15751,18840,19922,20009,28045,41065,60,0,0,0,,,,,,,,,,,,,,,,
"""Northwest-Shoals Community College""",Alabama,At least 2 but less than 4 years,Public,99,849,1568,5611,8422,8612,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of North Alabama""",Alabama,Four or more years,Public,98,7922,7731,11233,14536,13484,23250,33450,96,0,0,0,,,,,,,,,,,,,,,,
"""Northeast Alabama Community College""",Alabama,At least 2 but less than 4 years,Public,100,637,123,2321,6138,9660,,,,0,0,0,,,,,,,,,,,,,,,,
"""Oakwood University""",Alabama,Four or more years,Private not-for-profit,93,18518,16366,18999,20446,25129,38624,38624,68,0,0,0,,,,,,,,,,,,,,,,
"""Reid State Technical College""",Alabama,At least 2 but less than 4 years,Public,95,1600,368,3680,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bishop State Community College""",Alabama,At least 2 but less than 4 years,Public,91,2160,933,3743,4534,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Samford University""",Alabama,Four or more years,Private not-for-profit,100,23359,25342,28422,32460,33463,53934,53934,83,1080,1170,1270,23,26,29,,,,,,,,,,,,,
"""Selma University""",Alabama,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Shelton State Community College""",Alabama,At least 2 but less than 4 years,Public,72,7947,9285,11182,11219,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Snead State Community College""",Alabama,At least 2 but less than 4 years,Public,93,6428,6573,8734,11946,10704,16272,20272,,0,0,0,,,,,,,,,,,,,,,,
"""University of South Alabama""",Alabama,Four or more years,Public,96,12411,13521,18330,21388,22574,23705,32321,65,1003,1095,1200,20,22,26,,,,,,,,,,,,,
"""Spring Hill College""",Alabama,Four or more years,Private not-for-profit,100,13220,16872,18558,20508,25325,38872,38872,73,1110,1160,1230,19,21,24,,,,,,,,,,,,,
"""Stillman College""",Alabama,Four or more years,Private not-for-profit,90,15446,15874,17667,24823,16894,28052,28052,65,0,0,0,,,,,,,,,,,,,,,,
"""Talladega College""",Alabama,Four or more years,Private not-for-profit,98,12875,13576,12108,17453,14617,27700,27700,,0,0,0,,,,,,,,,,,,,,,,
"""H Councill Trenholm State Community College""",Alabama,At least 2 but less than 4 years,Public,86,6235,7002,8101,8721,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Troy University""",Alabama,Four or more years,Public,96,13911,14307,15892,15949,15573,22977,32289,95,950,1045,1150,17,20,24,,,,,,,,,,,,,
